SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
3	1	3	28	57047	791	0.4101948300376534462	0	1	886.25272900389973074	0	NaN	NaN	0	1	1	0	1	0
3	1	3	29	56177	7771	0.41024112899322062731	1	0	1458.3911079971585423	0	99	NaN	1	0	1	0	1	0
3	1	3	30	5809	7985	0.41028742503840476274	1	1	879.51042799977585673	0	55	NaN	1	1	0	1	2	0
3	1	3	31	11261	5651	0.41033371991943567991	0	1	1694.5538540021516383	0	NaN	NaN	0	1	1	0	1	0
3	1	3	32	70103	4786	0.41037991363555192947	0	1	812.63342399324756116	0	NaN	NaN	0	1	1	0	1	0
3	1	3	33	33818	5910	0.41042620455846190453	0	1	883.47217699629254639	0	NaN	NaN	0	1	1	0	1	0
3	1	3	34	42849	6588	0.41047250921837985516	0	1	607.19640000024810433	0	NaN	NaN	0	1	1	0	1	0
3	1	3	35	38481	5925	0.4105187918758019805	0	1	676.97068699635565281	0	NaN	NaN	0	1	1	0	1	0
3	1	3	36	51150	5699	0.41061139025259763002	0	1	607.05452199908904731	0	NaN	NaN	0	1	1	0	1	0
3	1	3	37	50489	3719	0.41065768152475357056	0	1	655.51745801349170506	0	NaN	NaN	0	1	1	0	1	0
3	1	3	38	59157	5440	0.4107039750088006258	0	1	704.39488699776120484	0	NaN	NaN	0	1	1	0	1	0
3	1	3	39	34287	9470	0.41075026965700089931	0	1	907.30071200232487172	0	NaN	NaN	0	1	1	0	1	0
3	1	3	40	10253	1330	0.41079656162764877081	0	1	614.08493200724478811	0	NaN	NaN	0	1	1	0	1	0
3	1	3	41	11094	8935	0.410842853132635355	0	1	750.59986500127706677	0	NaN	NaN	0	1	1	0	1	0
3	1	3	42	7660	80	0.41088915697764605284	0	1	715.96717300417367369	0	NaN	NaN	0	1	1	0	1	0
3	1	3	43	68613	2159	0.4109354392858222127	0	1	654.30095599731430411	0	NaN	NaN	0	1	1	0	1	0
3	1	3	44	65145	1866	0.41098174196667969227	0	1	709.12241000041831285	0	NaN	NaN	0	1	1	0	1	0
3	1	3	45	38105	5965	0.4110743239289149642	0	1	1005.7409919972997159	0	NaN	NaN	0	1	1	0	1	0
3	1	3	46	65440	7512	0.41112062183674424887	0	1	1546.1937130021397024	0	NaN	NaN	0	1	1	0	1	0
3	1	3	47	4844	4025	0.41116690938360989094	0	1	756.36804899841081351	0	NaN	NaN	0	1	1	0	1	0
3	1	3	48	4844	4025	0.41121321124956011772	1	1	854.71181799948681146	0	0	NaN	1	1	0	1	2	0
3	1	3	49	30374	403	0.41125950682908296585	0	1	839.016311991144903	0	NaN	NaN	0	1	1	0	1	0
3	1	3	50	46620	1665	0.41130579216405749321	0	1	884.46945301257073879	0	NaN	NaN	0	1	1	0	1	0
3	1	3	51	71019	9667	0.41135209507774561644	0	1	872.29522399138659239	0	NaN	NaN	0	1	1	0	1	0
3	1	3	52	25960	340	0.4113983834395185113	0	1	703.02674599224701524	0	NaN	NaN	0	1	1	0	1	0
3	1	3	53	12150	6692	0.41144468251150101423	0	1	702.5327809969894588	0	NaN	NaN	0	1	1	0	1	0
3	1	3	54	53633	3824	0.4115372637752443552	0	1	702.91530199756380171	0	NaN	NaN	0	1	1	0	1	0
3	1	3	55	37643	1160	0.41158356505911797285	0	1	731.34460300207138062	0	NaN	NaN	0	1	1	0	1	0
3	1	3	56	72130	7046	0.41162978892680257559	1	1	854.86189799848943949	0	121	NaN	1	1	0	1	2	0
3	1	3	57	61646	7852	0.41167605726514011621	0	1	1032.9605560109484941	0	NaN	NaN	0	1	1	0	1	0
3	1	3	58	45064	5291	0.41172234888654202223	0	1	813.08827300381381065	0	NaN	NaN	0	1	1	0	1	0
3	1	3	59	40219	3595	0.41176863829605281353	0	1	911.24629401019774377	0	NaN	NaN	0	1	1	0	1	0
3	1	3	60	35760	2325	0.41181494342163205147	0	1	809.81972398876678199	0	NaN	NaN	0	1	1	0	1	0
3	1	3	61	47309	4285	0.41186122654471546412	0	1	678.39768801059108227	0	NaN	NaN	0	1	1	0	1	0
3	1	3	62	54621	8561	0.41190752387046813965	0	1	984.60618099488783628	0	NaN	NaN	0	1	1	0	1	0
3	1	3	63	27752	3014	0.41195381572470068932	1	1	956.06938999844714999	0	95	NaN	1	1	0	1	2	0
3	1	4	1	30374	403	0.41349858441390097141	1	0	904.56289700523484498	0	14	NaN	1	0	1	0	1	0
3	1	4	2	44981	612	0.41354488302022218704	1	0	974.0249729948118329	0	153	NaN	1	0	1	0	1	0
3	1	4	3	12769	4687	0.41359117941465228796	0	1	815.57549099670723081	0	NaN	NaN	0	1	1	0	1	0
3	1	4	4	35718	9425	0.41363747336436063051	1	1	880.87041600374504924	0	170	NaN	1	1	0	1	2	0
3	1	4	5	47128	7750	0.41368376452010124922	0	1	702.45601701026316732	0	NaN	NaN	0	1	1	0	1	0
3	1	4	6	32274	3194	0.41373006673529744148	0	1	839.56566099368501455	0	NaN	NaN	0	1	1	0	1	0
3	1	4	7	53677	2628	0.41377634857781231403	0	1	902.66109899675939232	0	NaN	NaN	0	1	1	0	1	0
3	1	4	8	16174	9722	0.4138226538198068738	0	1	756.35896899621002376	0	NaN	NaN	0	1	1	0	1	0
3	1	4	9	54621	8561	0.41386893391609191895	1	1	838.58017899910919368	0	9	NaN	1	1	0	1	2	0
3	1	4	10	43984	2670	0.41391523589845746756	0	1	702.47150000068359077	0	NaN	NaN	0	1	1	0	1	0
3	1	4	11	27545	5109	0.41400782670825719833	0	1	751.11044700315687805	0	NaN	NaN	0	1	1	0	1	0
3	1	4	12	20103	3457	0.41405410878360271454	0	1	706.27471301122568548	0	NaN	NaN	0	1	1	0	1	0
3	1	4	13	29182	9972	0.41410041309427469969	0	1	824.39591300499159843	0	NaN	NaN	0	1	1	0	1	0
3	1	4	14	65415	899	0.41414663358591496944	0	1	641.29140799923334271	0	NaN	NaN	0	1	1	0	1	0
3	1	4	15	53844	5741	0.41419289808254688978	0	1	851.79927200078964233	0	NaN	NaN	0	1	1	0	1	0
3	1	4	16	44557	3831	0.41423919005319476128	0	1	1113.0893559893593192	0	NaN	NaN	0	1	1	0	1	0
3	1	4	17	3751	3799	0.41428549133706837893	0	1	1102.266485002473928	0	NaN	NaN	0	1	1	0	1	0
3	1	4	18	5958	2517	0.41433178388979285955	0	1	863.85599699860904366	0	NaN	NaN	0	1	1	0	1	0
3	1	4	19	59044	6504	0.41437807423062622547	0	1	813.1281160021899268	0	NaN	NaN	0	1	1	0	1	0
3	1	4	20	45917	3548	0.41447066084947437048	0	1	615.85591000039130449	0	NaN	NaN	0	1	1	0	1	0
3	1	4	21	44013	6399	0.41451695782598108053	0	1	830.14978599385358393	0	NaN	NaN	0	1	1	0	1	0
3	1	4	22	9065	3095	0.41456325561739504337	0	1	587.57151798636186868	0	NaN	NaN	0	1	1	0	1	0
3	1	4	23	38103	9021	0.41460955003276467323	0	1	705.69893300125841051	0	NaN	NaN	0	1	1	0	1	0
3	1	4	24	10598	9121	0.41465584479738026857	0	1	779.38547199300955981	0	NaN	NaN	0	1	1	0	1	0
3	1	4	25	61646	7852	0.41470213409047573805	1	1	1328.3630379883106798	0	30	NaN	1	1	0	1	2	0
3	1	4	26	60119	1108	0.41474843211472034454	1	1	891.73668700095731765	0	109	NaN	1	1	0	1	2	0
3	1	4	27	16232	8441	0.41479472036007791758	0	1	779.28411100583616644	0	NaN	NaN	0	1	1	0	1	0
3	1	4	28	40762	9826	0.41484102234244346619	0	1	1222.5197520019719377	0	NaN	NaN	0	1	1	0	1	0
3	1	4	29	18128	7559	0.41488731955178081989	0	1	1678.612980991601944	0	NaN	NaN	0	1	1	0	1	0
3	1	4	30	22191	2880	0.41497990163043141365	0	1	706.11541799735277891	0	NaN	NaN	0	1	1	0	1	0
3	1	4	31	42733	9949	0.41502619918901473284	0	1	789.88246600783895701	0	NaN	NaN	0	1	1	0	1	0
3	1	4	32	37985	7441	0.41507248987909406424	1	1	1034.953934999066405	0	196	NaN	1	1	0	1	2	0
3	1	4	33	15003	4751	0.41511878615710884333	0	1	818.74193300609476864	0	NaN	NaN	0	1	1	0	1	0
3	1	4	34	63933	5679	0.41516507882624864578	0	0	1789.5472570089623332	0	NaN	NaN	0	0	0	1	2	0
3	1	4	35	53306	9865	0.41521137475501745939	1	1	1269.9868759955279529	0	133	NaN	1	1	0	1	2	0
3	1	4	36	53712	1645	0.41525766719132661819	0	1	808.4516350063495338	0	NaN	NaN	0	1	1	0	1	0
3	1	4	37	42166	1266	0.41530395334120839834	1	1	1005.9934769960818812	0	92	NaN	1	1	0	1	2	0
3	1	4	38	70902	1549	0.41535025788471102715	0	1	830.27854199463035911	0	NaN	NaN	0	1	1	0	1	0
3	1	4	39	32890	4229	0.41539655311498790979	1	1	1040.8708889881381765	0	98	NaN	1	1	0	1	2	0
3	1	4	40	51552	9562	0.4154427478788420558	0	1	912.78982200310565531	0	NaN	NaN	0	1	1	0	1	0
